chave_curva,chave_familia,veiculo,categoria,modo_pandemia,fonte_ajuste,data_base_modelo,valor_fipe_atual,preco_zero_km_base,data_preco_zero_km_base,preco_zero_km_corrigido_atual,ratio_atual_ajustado,taxa_mensal_curva_percentual,taxa_mensal_cauda_percentual,taxa_mensal_hibrida_percentual,depreciacao_media_anual_principal_percentual,observacoes_total,observacoes_utilizadas,status,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_coleta,janela_historica_meses,versao_curva,family_id,family_nome,modelo_base_curva,ano_base_curva,valor_1ano,valor_2ano,valor_3ano,valor_4ano,valor_5ano,valor_6ano,valor_7ano,valor_8ano,valor_9ano,valor_10ano,valor_11ano,valor_12ano,valor_13ano,valor_14ano,valor_15ano,titulo,marca_id,modelo_id,ano_fipe_codigo,valor_futuro_base,depreciacao_percentual_base,periodo_inicial,periodo_final,origem_curva,confianca,tipo_match,codigo_ano_proxy,ano_modelo_proxy,nome_proxy
002111-3|32000|flex|excluir,toyota|corolla|flex|excluir,Toyota Corolla XEi 2.0 Flex 16V Aut. Zero km,Toyota,Excluir,curva histórica da família com coorte de ~7 anos,2026-01,103110.000000,105037.000000,2018-04,157237.118819,0.65576119,0.35070764,0.35070764,0.35070764,4.12825601,37,37,OK,002111-3,Toyota,Corolla XEi 2.0 Flex 16V Aut.,32000,Flex,2026-03-25 01:27:19,93,V18.8,,,,,98853.355228,94772.435650,90859.986879,87109.054010,83512.969253,80065.340080,76760.037866,73591.186990,70553.154390,67640.539554,64848.164914,62171.066649,59604.485853,57143.860084,54784.815246,,,,,,,,,,,,,,
002203-9|32000|flex|excluir,toyota|corolla|cross|flex|excluir,Toyota Corolla Cross XRE 2.0 16V Flex Aut. Zero km,Toyota,Excluir,curva própria do modelo,2026-03,113868.000000,123298.000000,2021-02,164027.526102,0.69420056,0.88505012,0.88505012,0.88505012,10.11856685,32,32,OK,002203-9,Toyota,Corolla Cross XRE 2.0 16V Flex Aut.,32000,Flex,2026-03-25 02:19:55,61,V18.9,,,,,102346.190295,91990.222608,82682.130435,74315.883791,66796.181406,60037.365135,53962.444207,48502.218214,43594.488838,39183.351341,35218.557740,31654.944430,28451.917715,25572.991400,22985.371169,,,,,,,,,,,,,,
002203-9|32000|flex|peso reduzido,toyota|corolla|cross|flex|peso reduzido,Toyota Corolla Cross XRE 2.0 16V Flex Aut. Zero km,Toyota,Peso reduzido,curva própria do modelo,2026-03,113868.000000,123298.000000,2021-02,164027.526102,0.69420056,0.87608334,0.87608334,0.87608334,10.02094104,32,32,OK,002203-9,Toyota,Corolla Cross XRE 2.0 16V Flex Aut.,32000,Flex,2026-03-30 17:23:01,61,V18.13,,,Corolla Cross XRE 2.0 16V Flex Aut.,2022,102457.354859,92190.163739,82951.841788,74639.286632,67159.727728,60429.691011,54374.067305,48925.274080,44022.501212,39611.032322,35641.634128,32070.006987,28856.290496,25964.618640,23362.719515,,,,,,,,,,,,,,
002223-3|32000|flex|excluir,toyota|yaris|cross|flex|excluir,Toyota YARIS Cross XRE 1.5 16V 5p Aut. Zero km,Toyota,Excluir,curva transferida de modelo similar escolhido manualmente na segunda janela: Corolla Cross XRE 2.0 16V Flex Aut.,2026-04,114904.000000,123298.000000,2021-02,164027.526102,0.70051657,0.51394138,0.51394138,0.51394138,5.99591920,32,32,OK,002223-3,Toyota,YARIS Cross XRE 1.5 16V 5p Aut.,32000,Flex,2026-04-02 12:07:03,62,V19.17,,,Corolla Cross XRE 2.0 16V Flex Aut.,2022,108014.449007,101537.989924,95449.854094,89726.757970,84346.814064,79289.447248,74535.316060,70066.238736,65865.123677,61915.904083,58203.476504,54713.643084,51433.057255,48349.172702,45450.195374,,,,,,,,,,,,,,
095010-6|32000|eletrico|excluir,byd|dolphin|base|eletrico|excluir,BYD Dolphin Mini (Elétrico) Zero km,BYD,Excluir,curva própria do modelo,2023-09,141975.000000,149802.000000,2023-07,150537.087814,0.94312307,2.88547651,2.88547651,2.88547651,29.62632957,3,3,OK,095010-6,BYD,Dolphin Mini (Elétrico),32000,Elétrico,2026-04-02 14:43:08,2,V19.17,,,Dolphin Mini (Elétrico),2024,99913.018593,70312.458421,49481.457760,34821.918008,24505.461816,17245.392936,12136.215989,8540.700643,6010.404523,4229.742270,2976.624885,2094.760187,1474.159630,1037.420240,730.070700,,,,,,,,,,,,,,
002205-5|32000|diesel|excluir,toyota|hilux|sw4|diesel|excluir,Toyota Hilux SW4 Diamond 2.8 TB 4x4 Die. Aut. Zero km,Toyota,Excluir,curva própria do modelo,2026-04,332738.000000,413395.000000,2021-11,508925.688350,0.65380469,0.85185897,0.85185897,0.85185897,9.75671209,27,27,OK,002205-5,Toyota,Hilux SW4 Diamond 2.8 TB 4x4 Die. Aut.,32000,Diesel,2026-04-02 14:45:37,53,V19.17,,,Hilux SW4 Diamond 2.8 TB 4x4 Die. Aut.,2022,300273.711333,270976.869842,244538.436827,220679.525601,199148.459651,179718.117816,162183.538490,146359.757586,132079.857426,119193.206010,107563.868072,97069.171153,87598.411598,79051.686784,71338.841304,,,,,,,,,,,,,,
095001-7|32000|eletrico|excluir,byd|tan|base|eletrico|excluir,BYD TAN EV 4x4 (Elétrico) Zero km,BYD,Excluir,curva própria do modelo,2026-04,242497.000000,508790.000000,2022-03,606065.408140,0.40011688,1.87552162,1.87552162,1.87552162,20.32385135,26,26,OK,095001-7,BYD,TAN EV 4x4 (Elétrico),32000,Elétrico,2026-04-02 14:51:13,49,V19.17,,,TAN EV 4x4 (Elétrico),2022,193212.270183,153944.095594,122656.726438,97728.155682,77866.030591,62040.654278,49431.603924,39385.198221,31380.609079,25002.860736,19921.316486,15872.537736,12646.626760,10076.345136,8028.443729,,,,,,,,,,,,,,
095006-8|32000|eletrico|excluir,byd|yuan|base|eletrico|excluir,BYD Yuan Plus (Elétrico) Zero km,BYD,Excluir,curva própria do modelo,2026-04,159520.000000,269996.000000,2022-11,313868.356775,0.50823855,1.16419989,1.16419989,1.16419989,13.10968163,22,22,OK,095006-8,BYD,Yuan Plus (Elétrico),32000,Elétrico,2026-04-02 14:52:25,41,V19.17,,,Yuan Plus (Elétrico),2023,138607.435867,120436.442311,104647.608160,90928.639898,79008.184699,68650.463224,59650.606059,51830.601516,45035.774671,39131.727993,34001.683037,29544.170643,25671.023932,22305.634424,19381.436765,,,,,,,,,,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,Honda HR-V EXL 1.5 Flex Sensing 16V 5p Aut. Zero km,Honda,Excluir,curva própria do modelo,2025-08,142577.000000,151989.000000,2022-08,174233.277088,0.81831096,0.52478573,0.52478573,0.52478573,6.11880701,19,19,OK,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2026-05-04 00:24:16,36,V19.17,,,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,2023,133852.988528,125662.782481,117973.719336,110755.135126,103978.242153,97616.014182,91643.078662,86035.615540,80771.262264,75829.024606,71189.192932,66833.263603,62743.865184,58904.689162,55300.424912,,,,,,,,,,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,Hyundai Creta Comfort 1.0 TB 12V Flex Aut. Zero km,Hyundai,Excluir,curva própria do modelo,2025-11,80889.000000,83154.000000,2021-05,106905.124567,0.75664287,0.27602710,0.27602710,0.27602710,3.26249898,28,28,OK,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2026-05-04 17:04:52,54,V19.17,,,Creta Comfort 1.0 TB 12V Flex Aut.,2022,78249.997201,75697.091842,73227.474994,70838.429370,68527.326335,66291.623014,64128.859490,62036.656104,60012.710832,58054.796754,56160.759603,54328.515395,52556.048135,50841.407601,49182.707198,,,,,,,,,,,,,,
