data_referencia,mes_referencia,preco_nominal,tipo,idade_meses,idade_anos
2022-08,08/2022,151989.0,zero_km,0,0.0
2022-10,outubro/2022,143936.0,usado,2,0.16666666666666666
2022-12,dezembro/2022,143417.0,usado,4,0.3333333333333333
2023-02,fevereiro/2023,138286.0,usado,6,0.5
2023-04,abril/2023,142696.0,usado,8,0.6666666666666666
2023-06,junho/2023,147680.0,usado,10,0.8333333333333334
2023-08,agosto/2023,150530.0,usado,12,1.0
2023-10,outubro/2023,149396.0,usado,14,1.1666666666666667
2023-12,dezembro/2023,150862.0,usado,16,1.3333333333333333
2024-02,fevereiro/2024,149341.0,usado,18,1.5
2024-04,abril/2024,149170.0,usado,20,1.6666666666666667
2024-06,junho/2024,149358.0,usado,22,1.8333333333333333
2024-08,agosto/2024,149084.0,usado,24,2.0
2024-10,outubro/2024,148078.0,usado,26,2.1666666666666665
2024-12,dezembro/2024,144715.0,usado,28,2.3333333333333335
2025-02,fevereiro/2025,145228.0,usado,30,2.5
2025-04,abril/2025,144825.0,usado,32,2.6666666666666665
2025-06,junho/2025,143622.0,usado,34,2.8333333333333335
2025-08,agosto/2025,142577.0,usado,36,3.0
