data_referencia,preco_nominal,preco_corrigido,indice_inflacao_acumulado,ipca_base
2022-08,151989.0,151989.0,,2022-08
2022-10,143936.0,143507.8710784918,,2022-08
2022-12,143417.0,141529.16761892405,,2022-08
2023-02,138286.0,134615.54986005026,,2022-08
2023-04,142696.0,137092.86683438622,,2022-08
2023-06,147680.0,141668.97973708512,,2022-08
2023-08,150530.0,143898.89412085083,,2022-08
2023-10,149396.0,142103.4047052588,,2022-08
2023-12,150862.0,142300.20447140007,,2022-08
2024-02,149341.0,139121.69495215197,,2022-08
2024-04,149170.0,138215.31054756616,,2022-08
2024-06,149358.0,137467.0418194312,,2022-08
2024-08,149084.0,136722.64337615733,,2022-08
2024-10,148078.0,134452.34829236264,,2022-08
2024-12,144715.0,130211.29808464192,,2022-08
2025-02,145228.0,128777.09216477933,,2022-08
2025-04,144825.0,127157.70101586742,,2022-08
2025-06,143622.0,125473.27380530756,,2022-08
2025-08,142577.0,124374.26429188781,,2022-08
