data_referencia,mes_referencia,preco_nominal,tipo,idade_meses,idade_anos
2021-05,05/2021,83154.0,zero_km,0,0.0
2021-07,julho/2021,78658.0,usado,2,0.16666666666666666
2021-09,setembro/2021,83590.0,usado,4,0.3333333333333333
2021-11,novembro/2021,86366.0,usado,6,0.5
2022-01,janeiro/2022,89695.0,usado,8,0.6666666666666666
2022-03,março/2022,90535.0,usado,10,0.8333333333333334
2022-05,maio/2022,95920.0,usado,12,1.0
2022-07,julho/2022,89973.0,usado,14,1.1666666666666667
2022-09,setembro/2022,90262.0,usado,16,1.3333333333333333
2022-11,novembro/2022,90364.0,usado,18,1.5
2023-01,janeiro/2023,88976.0,usado,20,1.6666666666666667
2023-03,março/2023,88649.0,usado,22,1.8333333333333333
2023-05,maio/2023,88108.0,usado,24,2.0
2023-07,julho/2023,85807.0,usado,26,2.1666666666666665
2023-09,setembro/2023,84693.0,usado,28,2.3333333333333335
2023-11,novembro/2023,82453.0,usado,30,2.5
2024-01,janeiro/2024,80986.0,usado,32,2.6666666666666665
2024-03,março/2024,81259.0,usado,34,2.8333333333333335
2024-05,maio/2024,80989.0,usado,36,3.0
2024-07,julho/2024,79972.0,usado,38,3.1666666666666665
2024-09,setembro/2024,79374.0,usado,40,3.3333333333333335
2024-11,novembro/2024,80788.0,usado,42,3.5
2025-01,janeiro/2025,79854.0,usado,44,3.6666666666666665
2025-03,março/2025,81160.0,usado,46,3.8333333333333335
2025-05,maio/2025,80537.0,usado,48,4.0
2025-07,julho/2025,80684.0,usado,50,4.166666666666667
2025-09,setembro/2025,80690.0,usado,52,4.333333333333333
2025-11,novembro/2025,80889.0,usado,54,4.5
