data_referencia,preco_nominal,preco_corrigido,indice_inflacao_acumulado,ipca_base
2021-05,83154.0,83154.0,,2021-05
2021-07,78658.0,77499.33660522851,,2021-05
2021-09,83590.0,80712.12497539623,,2021-05
2021-11,86366.0,81587.90836267157,,2021-05
2022-01,89695.0,83666.87862521107,,2021-05
2022-03,90535.0,82273.08798545899,,2021-05
2022-05,95920.0,85848.88461970285,,2021-05
2022-07,89973.0,80537.96924180632,,2021-05
2022-09,90262.0,81324.41356662282,,2021-05
2022-11,90364.0,80608.24964098101,,2021-05
2023-01,88976.0,78465.22809907197,,2021-05
2023-03,88649.0,76979.07073121655,,2021-05
2023-05,88108.0,75870.95403043834,,2021-05
2023-07,85807.0,73860.05646721477,,2021-05
2023-09,84693.0,72545.1754125713,,2021-05
2023-11,82453.0,70260.62321265523,,2021-05
2024-01,80986.0,68339.18570008763,,2021-05
2024-03,81259.0,67896.54979225929,,2021-05
2024-05,80989.0,67106.09341471584,,2021-05
2024-07,79972.0,65874.18749721939,,2021-05
2024-09,79374.0,65108.19911535411,,2021-05
2024-11,80788.0,65643.0734975799,,2021-05
2025-01,79854.0,64445.42275016663,,2021-05
2025-03,81160.0,64292.37522393581,,2021-05
2025-05,80537.0,63360.904414526296,,2021-05
2025-07,80684.0,63160.38219416857,,2021-05
2025-09,80690.0,62932.643082132774,,2021-05
2025-11,80889.0,62917.88100187833,,2021-05
