data_referencia,mes_referencia,preco_nominal,tipo,idade_meses,idade_anos
2023-08,08/2023,106390.0,zero_km,0,0.0
2023-09,setembro/2023,98304.0,usado,1,0.08333333333333333
2023-10,outubro/2023,98304.0,usado,2,0.16666666666666666
2023-11,novembro/2023,97861.0,usado,3,0.25
2023-12,dezembro/2023,98101.0,usado,4,0.3333333333333333
2024-01,janeiro/2024,97500.0,usado,5,0.4166666666666667
2024-02,fevereiro/2024,94526.0,usado,6,0.5
2024-03,março/2024,92884.0,usado,7,0.5833333333333334
2024-04,abril/2024,96134.0,usado,8,0.6666666666666666
2024-05,maio/2024,94055.0,usado,9,0.75
2024-06,junho/2024,96480.0,usado,10,0.8333333333333334
2024-07,julho/2024,93103.0,usado,11,0.9166666666666666
2024-08,agosto/2024,93385.0,usado,12,1.0
2024-09,setembro/2024,90470.0,usado,13,1.0833333333333333
2024-10,outubro/2024,87613.0,usado,14,1.1666666666666667
2024-11,novembro/2024,90217.0,usado,15,1.25
2024-12,dezembro/2024,87212.0,usado,16,1.3333333333333333
2025-01,janeiro/2025,88869.0,usado,17,1.4166666666666667
2025-02,fevereiro/2025,90176.0,usado,18,1.5
2025-06,junho/2025,88712.0,usado,22,1.8333333333333333
2025-07,julho/2025,87712.0,usado,23,1.9166666666666667
2025-08,agosto/2025,88085.0,usado,24,2.0
2025-09,setembro/2025,87236.0,usado,25,2.0833333333333335
2025-10,outubro/2025,86221.0,usado,26,2.1666666666666665
2025-11,novembro/2025,85981.0,usado,27,2.25
2025-12,dezembro/2025,85049.0,usado,28,2.3333333333333335
2026-01,janeiro/2026,85208.0,usado,29,2.4166666666666665
2026-02,fevereiro/2026,85565.0,usado,30,2.5
2026-03,março/2026,84509.0,usado,31,2.5833333333333335
2026-04,abril/2026,85308.0,usado,32,2.6666666666666665
2026-05,maio/2026,85394.0,usado,33,2.75
