data_referencia,preco_nominal,preco_corrigido,indice_inflacao_acumulado,ipca_base
2023-08,106390.0,106390.0,,2023-08
2023-09,98304.0,98049.02160682679,,2023-08
2023-10,98304.0,97814.29043256103,,2023-08
2023-11,97861.0,97101.56766411057,,2023-08
2023-12,98101.0,96797.62526519685,,2023-08
2024-01,97500.0,95802.2088530548,,2023-08
2024-02,94526.0,92115.49513645768,,2023-08
2024-03,92884.0,90370.81490841648,,2023-08
2024-04,96134.0,93178.83634507284,,2023-08
2024-05,94055.0,90746.2870292307,,2023-08
2024-06,96480.0,92890.86299666786,,2023-08
2024-07,93103.0,89300.1206735468,,2023-08
2024-08,93385.0,89588.47381037823,,2023-08
2024-09,90470.0,86411.80217660047,,2023-08
2024-10,87613.0,83216.99105073241,,2023-08
2024-11,90217.0,85357.46092525662,,2023-08
2024-12,87212.0,82087.4889599324,,2023-08
2025-01,88869.0,83513.51268444542,,2023-08
2025-02,90176.0,83645.93308841185,,2023-08
2025-06,88712.0,81073.37174362809,,2023-08
2025-07,87712.0,79951.64407977108,,2023-08
2025-08,88085.0,80380.11373706121,,2023-08
2025-09,87236.0,79225.14751612298,,2023-08
2025-10,86221.0,78232.97847313485,,2023-08
2025-11,85981.0,77875.01967491266,,2023-08
2025-12,85049.0,76777.52468429576,,2023-08
2026-01,85208.0,76668.06533364208,,2023-08
2026-02,85565.0,76454.14771428304,,2023-08
2026-03,84509.0,75510.58925011798,,2023-08
2026-04,85308.0,76224.51274715195,,2023-08
2026-05,85394.0,76301.35557661994,,2023-08
