data_referencia,mes_referencia,preco_nominal,tipo,idade_meses,idade_anos
2024-04,04/2024,309790.0,zero_km,0,0.0
2024-05,maio/2024,287794.0,usado,1,0.08333333333333333
2024-06,junho/2024,286786.0,usado,2,0.16666666666666666
2024-07,julho/2024,285868.0,usado,3,0.25
2024-08,agosto/2024,275862.0,usado,4,0.3333333333333333
2024-09,setembro/2024,274105.0,usado,5,0.4166666666666667
2024-10,outubro/2024,264511.0,usado,6,0.5
2024-11,novembro/2024,271293.0,usado,7,0.5833333333333334
2024-12,dezembro/2024,262974.0,usado,8,0.6666666666666666
2025-01,janeiro/2025,253769.0,usado,9,0.75
2025-02,fevereiro/2025,260484.0,usado,10,0.8333333333333334
2025-03,março/2025,258138.0,usado,11,0.9166666666666666
2025-04,abril/2025,252096.0,usado,12,1.0
2025-05,maio/2025,248681.0,usado,13,1.0833333333333333
2025-06,junho/2025,251234.0,usado,14,1.1666666666666667
2025-07,julho/2025,249573.0,usado,15,1.25
2025-08,agosto/2025,248879.0,usado,16,1.3333333333333333
2025-09,setembro/2025,246324.0,usado,17,1.4166666666666667
2025-10,outubro/2025,242813.0,usado,18,1.5
2025-11,novembro/2025,243005.0,usado,19,1.5833333333333333
2025-12,dezembro/2025,240407.0,usado,20,1.6666666666666667
2026-01,janeiro/2026,237766.0,usado,21,1.75
2026-02,fevereiro/2026,233721.0,usado,22,1.8333333333333333
2026-03,março/2026,228703.0,usado,23,1.9166666666666667
2026-04,abril/2026,228232.0,usado,24,2.0
2026-05,maio/2026,225266.0,usado,25,2.0833333333333335
