data_referencia,preco_nominal,preco_corrigido,indice_inflacao_acumulado,ipca_base
2024-04,309790.0,309790.0,,2024-04
2024-05,287794.0,286476.1310242877,,2024-04
2024-06,286786.0,284874.3715185889,,2024-04
2024-07,285868.0,282887.42622515565,,2024-04
2024-08,275862.0,273040.2206100624,,2024-04
2024-09,274105.0,270112.79738179117,,2024-04
2024-10,264511.0,259207.11900095647,,2024-04
2024-11,271293.0,264820.3926968177,,2024-04
2024-12,262974.0,255371.99405112315,,2024-04
2025-01,253769.0,246039.4551580037,,2024-04
2025-02,260484.0,249284.13846437834,,2024-04
2025-03,258138.0,245663.23134466374,,2024-04
2025-04,252096.0,238885.84726257258,,2024-04
2025-05,248681.0,235038.66492859944,,2024-04
2025-06,251234.0,236883.0620336197,,2024-04
2025-07,249573.0,234706.82305734605,,2024-04
2025-08,248879.0,234312.05953650438,,2024-04
2025-09,246324.0,230798.9196663704,,2024-04
2025-10,242813.0,227304.73087617164,,2024-04
2025-11,243005.0,227075.67702136078,,2024-04
2025-12,240407.0,223909.09483216246,,2024-04
2026-01,237766.0,220720.97949841942,,2024-04
2026-02,233721.0,215457.87043080546,,2024-04
2026-03,228703.0,210831.98061422165,,2024-04
2026-04,228232.0,210397.78489807757,,2024-04
2026-05,225266.0,207663.55030342084,,2024-04
