data_referencia,mes_referencia,preco_nominal,tipo,idade_meses,idade_anos
2018-05,05/2018,36966.0,zero_km,0,0.0
2019-05,maio/2019,34201.0,usado,12,1.0
2019-07,julho/2019,34232.0,usado,14,1.1666666666666667
2019-09,setembro/2019,34588.0,usado,16,1.3333333333333333
2019-11,novembro/2019,34789.0,usado,18,1.5
2020-01,janeiro/2020,34436.0,usado,20,1.6666666666666667
2020-03,março/2020,33928.0,usado,22,1.8333333333333333
2020-05,maio/2020,33710.0,usado,24,2.0
2020-07,julho/2020,33406.0,usado,26,2.1666666666666665
2020-09,setembro/2020,33240.0,usado,28,2.3333333333333335
2020-11,novembro/2020,33672.0,usado,30,2.5
2021-01,janeiro/2021,34410.0,usado,32,2.6666666666666665
2021-03,março/2021,35366.0,usado,34,2.8333333333333335
2021-05,maio/2021,37621.0,usado,36,3.0
2021-07,julho/2021,39780.0,usado,38,3.1666666666666665
2021-09,setembro/2021,41756.0,usado,40,3.3333333333333335
2021-11,novembro/2021,43281.0,usado,42,3.5
2022-01,janeiro/2022,45071.0,usado,44,3.6666666666666665
2022-03,março/2022,45865.0,usado,46,3.8333333333333335
2022-05,maio/2022,46588.0,usado,48,4.0
2022-07,julho/2022,45609.0,usado,50,4.166666666666667
2022-09,setembro/2022,45555.0,usado,52,4.333333333333333
2022-11,novembro/2022,45897.0,usado,54,4.5
2023-01,janeiro/2023,45394.0,usado,56,4.666666666666667
2023-03,março/2023,44856.0,usado,58,4.833333333333333
2023-05,maio/2023,44562.0,usado,60,5.0
2023-07,julho/2023,43404.0,usado,62,5.166666666666667
2023-09,setembro/2023,42391.0,usado,64,5.333333333333333
2023-11,novembro/2023,41601.0,usado,66,5.5
2024-01,janeiro/2024,40987.0,usado,68,5.666666666666667
2024-03,março/2024,41021.0,usado,70,5.833333333333333
2024-05,maio/2024,40612.0,usado,72,6.0
2024-07,julho/2024,39885.0,usado,74,6.166666666666667
2024-09,setembro/2024,39795.0,usado,76,6.333333333333333
2024-11,novembro/2024,39152.0,usado,78,6.5
2025-01,janeiro/2025,39040.0,usado,80,6.666666666666667
2025-03,março/2025,38966.0,usado,82,6.833333333333333
2025-05,maio/2025,38747.0,usado,84,7.0
2025-07,julho/2025,38414.0,usado,86,7.166666666666667
2025-09,setembro/2025,37903.0,usado,88,7.333333333333333
2025-11,novembro/2025,37525.0,usado,90,7.5
2026-01,janeiro/2026,36931.0,usado,92,7.666666666666667
2026-03,março/2026,36235.0,usado,94,7.833333333333333
2026-05,maio/2026,37254.0,usado,96,8.0
