data_referencia,preco_nominal,preco_corrigido,indice_inflacao_acumulado,ipca_base
2018-05,36966.0,36966.0,,2018-05
2019-05,34201.0,32678.739811076477,,2018-05
2019-07,34232.0,32643.058256032524,,2018-05
2019-09,34588.0,32959.44285211483,,2018-05
2019-11,34789.0,32949.79493551036,,2018-05
2020-01,34436.0,32177.070431517302,,2018-05
2020-03,33928.0,31601.214234297902,,2018-05
2020-05,33710.0,31615.932883378988,,2018-05
2020-07,33406.0,31137.484940959428,,2018-05
2020-09,33240.0,30711.990652385586,,2018-05
2020-11,33672.0,30573.74541239255,,2018-05
2021-01,34410.0,30750.78669080041,,2018-05
2021-03,35366.0,31046.89721078749,,2018-05
2021-05,37621.0,32653.401914084,,2018-05
2021-07,39780.0,34018.719531978226,,2018-05
2021-09,41756.0,34994.633036181425,,2018-05
2021-11,43281.0,35487.74293783916,,2018-05
2022-01,45071.0,36490.56815193666,,2018-05
2022-03,45865.0,36176.020293131805,,2018-05
2022-05,46588.0,36190.75574780753,,2018-05
2022-07,45609.0,35435.38224876988,,2018-05
2022-09,45555.0,35624.61155134576,,2018-05
2022-11,45897.0,35535.828219514464,,2018-05
2023-01,45394.0,34745.68801241473,,2018-05
2023-03,44856.0,33807.84315101964,,2018-05
2023-05,44562.0,33306.03812292957,,2018-05
2023-07,43404.0,32427.597242926604,,2018-05
2023-09,42391.0,31516.122410329728,,2018-05
2023-11,41601.0,30768.57653643726,,2018-05
2024-01,40987.0,30019.543296401494,,2018-05
2024-03,41021.0,29749.561879653054,,2018-05
2024-05,40612.0,29207.097237460584,,2018-05
2024-07,39885.0,28515.76383237967,,2018-05
2024-09,39795.0,28332.44300179359,,2018-05
2024-11,39152.0,27611.76070002279,,2018-05
2025-01,39040.0,27346.598161381127,,2018-05
2025-03,38966.0,26791.766965983836,,2018-05
2025-05,38747.0,26458.310021575056,,2018-05
2025-07,38414.0,26100.26754846576,,2018-05
2025-09,37903.0,25658.30365155332,,2018-05
2025-11,37525.0,25333.979846698847,,2018-05
2026-01,36931.0,24769.214966369218,,2018-05
2026-03,36235.0,24133.49409937016,,2018-05
2026-05,37254.0,24812.175774194453,,2018-05
