data_referencia,mes_referencia,preco_nominal,tipo,idade_meses,idade_anos
2023-07,07/2023,416995.0,zero_km,0,0.0
2023-08,agosto/2023,395311.0,usado,1,0.08333333333333333
2023-09,setembro/2023,393136.0,usado,2,0.16666666666666666
2023-10,outubro/2023,391366.0,usado,3,0.25
2023-11,novembro/2023,389604.0,usado,4,0.3333333333333333
2023-12,dezembro/2023,387967.0,usado,5,0.4166666666666667
2024-01,janeiro/2024,387113.0,usado,6,0.5
2024-02,fevereiro/2024,384248.0,usado,7,0.5833333333333334
2024-03,março/2024,397696.0,usado,8,0.6666666666666666
2024-04,abril/2024,402395.0,usado,9,0.75
2024-05,maio/2024,389902.0,usado,10,0.8333333333333334
2024-06,junho/2024,403548.0,usado,11,0.9166666666666666
2024-07,julho/2024,398775.0,usado,12,1.0
2024-08,agosto/2024,397475.0,usado,13,1.0833333333333333
2024-09,setembro/2024,395653.0,usado,14,1.1666666666666667
2024-10,outubro/2024,388535.0,usado,15,1.25
2024-11,novembro/2024,384150.0,usado,16,1.3333333333333333
2024-12,dezembro/2024,373961.0,usado,17,1.4166666666666667
2025-01,janeiro/2025,376347.0,usado,18,1.5
2025-02,fevereiro/2025,378397.0,usado,19,1.5833333333333333
2025-03,março/2025,376064.0,usado,20,1.6666666666666667
2025-04,abril/2025,372010.0,usado,21,1.75
2025-05,maio/2025,374344.0,usado,22,1.8333333333333333
2025-06,junho/2025,367432.0,usado,23,1.9166666666666667
2025-07,julho/2025,363060.0,usado,24,2.0
2025-08,agosto/2025,353551.0,usado,25,2.0833333333333335
2025-09,setembro/2025,341176.0,usado,26,2.1666666666666665
2025-10,outubro/2025,337275.0,usado,27,2.25
2025-11,novembro/2025,331337.0,usado,28,2.3333333333333335
2025-12,dezembro/2025,319740.0,usado,29,2.4166666666666665
2026-01,janeiro/2026,312118.0,usado,30,2.5
2026-02,fevereiro/2026,311275.0,usado,31,2.5833333333333335
2026-03,março/2026,301853.0,usado,32,2.6666666666666665
2026-04,abril/2026,312417.0,usado,33,2.75
2026-05,maio/2026,318603.0,usado,34,2.8333333333333335
