data_referencia,preco_nominal,preco_corrigido,indice_inflacao_acumulado,ipca_base
2023-07,416995.0,416995.0,,2023-07
2023-08,395311.0,394403.65050394414,,2023-07
2023-09,393136.0,391216.277178666,,2023-07
2023-10,391366.0,388522.5579730643,,2023-07
2023-11,389604.0,385693.2389723185,,2023-07
2023-12,387967.0,381933.7894370075,,2023-07
2024-01,387113.0,379499.04689108045,,2023-07
2024-02,384248.0,373589.83651907137,,2023-07
2024-03,397696.0,386047.3168751838,,2023-07
2024-04,402395.0,389130.14141639735,,2023-07
2024-05,389902.0,375322.38411655324,,2023-07
2024-06,403548.0,387643.8773580964,,2023-07
2024-07,398775.0,381608.7471960665,,2023-07
2024-08,397475.0,380440.6016651116,,2023-07
2024-09,395653.0,377037.8603888726,,2023-07
2024-10,388535.0,368193.08757548325,,2023-07
2024-11,384150.0,362623.5212924543,,2023-07
2024-12,373961.0,351179.42544046196,,2023-07
2025-01,376347.0,352855.5420354169,,2023-07
2025-02,378397.0,350189.86627120216,,2023-07
2025-03,376064.0,346092.5704600725,,2023-07
2025-04,372010.0,340895.58490711247,,2023-07
2025-05,374344.0,342144.7491124617,,2023-07
2025-06,367432.0,335023.1889478556,,2023-07
2025-07,363060.0,330178.5188175636,,2023-07
2025-08,353551.0,321885.01154984155,,2023-07
2025-09,341176.0,309134.73968686216,,2023-07
2025-10,337275.0,305325.4368232125,,2023-07
2025-11,331337.0,299410.92294828256,,2023-07
2025-12,319740.0,287981.03756573086,,2023-07
2026-01,312118.0,280191.51192021236,,2023-07
2026-02,311275.0,277492.4460306616,,2023-07
2026-03,301853.0,269093.0120044761,,2023-07
2026-04,312417.0,278510.5052174482,,2023-07
2026-05,318603.0,284025.14105760783,,2023-07
