data_referencia,mes_referencia,preco_nominal,tipo,idade_meses,idade_anos
2018-09,09/2018,192041.0,zero_km,0,0.0
2019-05,maio/2019,177100.0,usado,8,0.6666666666666666
2019-07,julho/2019,179168.0,usado,10,0.8333333333333334
2019-09,setembro/2019,181030.0,usado,12,1.0
2019-11,novembro/2019,180437.0,usado,14,1.1666666666666667
2020-01,janeiro/2020,178965.0,usado,16,1.3333333333333333
2020-03,março/2020,178612.0,usado,18,1.5
2020-05,maio/2020,177478.0,usado,20,1.6666666666666667
2020-07,julho/2020,180425.0,usado,22,1.8333333333333333
2020-09,setembro/2020,179422.0,usado,24,2.0
2020-11,novembro/2020,191884.0,usado,26,2.1666666666666665
2021-01,janeiro/2021,194521.0,usado,28,2.3333333333333335
2021-03,março/2021,202357.0,usado,30,2.5
2021-05,maio/2021,211847.0,usado,32,2.6666666666666665
2021-07,julho/2021,229022.0,usado,34,2.8333333333333335
2021-09,setembro/2021,240887.0,usado,36,3.0
2021-11,novembro/2021,250328.0,usado,38,3.1666666666666665
2022-05,maio/2022,268316.0,usado,44,3.6666666666666665
2022-07,julho/2022,261805.0,usado,46,3.8333333333333335
2022-09,setembro/2022,261030.0,usado,48,4.0
2022-11,novembro/2022,256768.0,usado,50,4.166666666666667
2023-01,janeiro/2023,250613.0,usado,52,4.333333333333333
2023-03,março/2023,246378.0,usado,54,4.5
2023-05,maio/2023,242041.0,usado,56,4.666666666666667
2023-07,julho/2023,234682.0,usado,58,4.833333333333333
2023-09,setembro/2023,228591.0,usado,60,5.0
2023-11,novembro/2023,224314.0,usado,62,5.166666666666667
2024-01,janeiro/2024,217358.0,usado,64,5.333333333333333
2024-03,março/2024,217836.0,usado,66,5.5
2024-05,maio/2024,212553.0,usado,68,5.666666666666667
2024-07,julho/2024,211129.0,usado,70,5.833333333333333
2024-09,setembro/2024,209022.0,usado,72,6.0
2024-11,novembro/2024,206936.0,usado,74,6.166666666666667
2025-01,janeiro/2025,204871.0,usado,76,6.333333333333333
2025-03,março/2025,202826.0,usado,78,6.5
2025-05,maio/2025,200801.0,usado,80,6.666666666666667
2025-07,julho/2025,198797.0,usado,82,6.833333333333333
2025-09,setembro/2025,196813.0,usado,84,7.0
2025-11,novembro/2025,197250.0,usado,86,7.166666666666667
2026-01,janeiro/2026,200266.0,usado,88,7.333333333333333
2026-03,março/2026,197548.0,usado,90,7.5
2026-05,maio/2026,195577.0,usado,92,7.666666666666667
