data_referencia,preco_nominal,preco_corrigido,indice_inflacao_acumulado,ipca_base
2018-09,192041.0,192041.0,,2018-09
2019-05,177100.0,172584.99026612323,,2018-09
2019-07,179168.0,174251.68149642623,,2018-09
2019-09,181030.0,175939.32769556832,,2018-09
2019-11,180437.0,174298.77460378417,,2018-09
2020-01,178965.0,170553.19988858502,,2018-09
2020-03,178612.0,169673.53551376183,,2018-09
2020-05,177478.0,169765.61835587813,,2018-09
2020-07,180425.0,171519.5912065007,,2018-09
2020-09,179422.0,169075.4727611629,,2018-09
2020-11,191884.0,177695.51258721374,,2018-09
2021-01,194521.0,177294.80767388587,,2018-09
2021-03,202357.0,181179.2504846054,,2018-09
2021-05,211847.0,187533.29401731142,,2018-09
2021-07,229022.0,199750.71939808113,,2018-09
2021-09,240887.0,205898.83200795396,,2018-09
2021-11,250328.0,209338.2006389398,,2018-09
2022-05,268316.0,212582.799347563,,2018-09
2022-07,261805.0,207454.31548124985,,2018-09
2022-09,261030.0,208191.25115770902,,2018-09
2022-11,256768.0,202759.40403468962,,2018-09
2023-01,250613.0,195642.86902925454,,2018-09
2023-03,246378.0,189389.89900252206,,2018-09
2023-05,242041.0,184503.7528851001,,2018-09
2023-07,234682.0,178822.746764368,,2018-09
2023-09,228591.0,173330.98687741207,,2018-09
2023-11,224314.0,169206.86515874724,,2018-09
2024-01,217358.0,162364.67351493446,,2018-09
2024-03,217836.0,161124.63625432004,,2018-09
2024-05,212553.0,155904.705525945,,2018-09
2024-07,211129.0,153950.55850049297,,2018-09
2024-09,209022.0,151776.83031805808,,2018-09
2024-11,206936.0,148844.9704449607,,2018-09
2025-01,204871.0,146363.21903552656,,2018-09
2025-03,202826.0,142231.9361551775,,2018-09
2025-05,200801.0,139845.29348800486,,2018-09
2025-07,198797.0,137760.0268290421,,2018-09
2025-09,196813.0,135883.30504031765,,2018-09
2025-11,197250.0,135818.1144581742,,2018-09
2026-01,200266.0,136989.21079146763,,2018-09
2026-03,197548.0,134190.7379885049,,2018-09
2026-05,195577.0,132851.8737905614,,2018-09
