chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2022-08,08/2022,151989.000000,zero_km,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2022-10,outubro/2022,143936.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2022-12,dezembro/2022,143417.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2023-02,fevereiro/2023,138286.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2023-04,abril/2023,142696.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2023-06,junho/2023,147680.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2023-08,agosto/2023,150530.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2023-10,outubro/2023,149396.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2023-12,dezembro/2023,150862.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2024-02,fevereiro/2024,149341.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2024-04,abril/2024,149170.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2024-06,junho/2024,149358.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2024-08,agosto/2024,149084.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2024-10,outubro/2024,148078.000000,usado,,,,,
