data_referencia,indice_ipca
2010-01,3040.220000
2010-02,3063.930000
2010-03,3079.860000
2010-04,3097.420000
2010-05,3110.740000
2010-06,3110.740000
2010-07,3111.050000
2010-08,3112.290000
2010-09,3126.290000
2010-10,3149.740000
2010-11,3175.880000
2010-12,3195.890000
2011-01,3222.420000
2011-02,3248.200000
2011-03,3273.860000
2011-04,3299.070000
2011-05,3314.580000
2011-06,3319.550000
2011-07,3324.860000
2011-08,3337.160000
2011-09,3354.850000
2011-10,3369.280000
2011-11,3386.800000
2011-12,3403.730000
2012-01,3422.790000
2012-02,3438.190000
2012-03,3445.410000
2012-04,3467.460000
2012-05,3479.940000
2012-06,3482.720000
2012-07,3497.700000
2012-08,3512.040000
2012-09,3532.060000
2012-10,3552.900000
2012-11,3574.220000
2012-12,3602.460000
2013-01,3633.440000
2013-02,3655.240000
2013-03,3672.420000
2013-04,3692.620000
2013-05,3706.280000
2013-06,3715.920000
2013-07,3717.030000
2013-08,3725.950000
2013-09,3738.990000
2013-10,3760.300000
2013-11,3780.610000
2013-12,3815.390000
2014-01,3836.370000
2014-02,3862.840000
2014-03,3898.380000
2014-04,3924.500000
2014-05,3942.550000
2014-06,3958.320000
2014-07,3958.720000
2014-08,3968.620000
2014-09,3991.240000
2014-10,4008.000000
2014-11,4028.440000
2014-12,4059.860000
2015-01,4110.200000
2015-02,4160.340000
2015-03,4215.260000
2015-04,4245.190000
2015-05,4276.600000
2015-06,4310.390000
2015-07,4337.110000
2015-08,4346.650000
2015-09,4370.120000
2015-10,4405.950000
2015-11,4450.450000
2015-12,4493.170000
2016-01,4550.230000
2016-02,4591.180000
2016-03,4610.920000
2016-04,4639.050000
2016-05,4675.230000
2016-06,4691.590000
2016-07,4715.990000
2016-08,4736.740000
2016-09,4740.530000
2016-10,4752.860000
2016-11,4761.420000
2016-12,4775.700000
2017-01,4793.850000
2017-02,4809.670000
2017-03,4821.690000
2017-04,4828.440000
2017-05,4843.410000
2017-06,4832.270000
2017-07,4843.870000
2017-08,4853.070000
2017-09,4860.830000
2017-10,4881.250000
2017-11,4894.920000
2017-12,4916.460000
2018-01,4930.720000
2018-02,4946.500000
2018-03,4950.950000
2018-04,4961.840000
2018-05,4981.690000
2018-06,5044.460000
2018-07,5061.110000
2018-08,5056.560000
2018-09,5080.830000
2018-10,5103.690000
2018-11,5092.970000
2018-12,5100.610000
2019-01,5116.930000
2019-02,5138.930000
2019-03,5177.470000
2019-04,5206.980000
2019-05,5213.750000
2019-06,5214.270000
2019-07,5224.180000
2019-08,5229.930000
2019-09,5227.840000
2019-10,5233.070000
2019-11,5259.760000
2019-12,5320.250000
2020-01,5331.420000
2020-02,5344.750000
2020-03,5348.490000
2020-04,5331.910000
2020-05,5311.650000
2020-06,5325.460000
2020-07,5344.630000
2020-08,5357.460000
2020-09,5391.750000
2020-10,5438.120000
2020-11,5486.520000
2020-12,5560.590000
2021-01,5574.490000
2021-02,5622.430000
2021-03,5674.720000
2021-04,5692.310000
2021-05,5739.560000
2021-06,5769.980000
2021-07,5825.370000
2021-08,5876.050000
2021-09,5944.210000
2021-10,6018.510000
2021-11,6075.690000
2021-12,6120.040000
2022-01,6153.090000
2022-02,6215.240000
2022-03,6315.930000
2022-04,6382.880000
2022-05,6412.880000
2022-06,6455.850000
2022-07,6411.950000
2022-08,6388.870000
2022-09,6370.340000
2022-10,6407.930000
2022-11,6434.200000
2022-12,6474.090000
2023-01,6508.400000
2023-02,6563.070000
2023-03,6609.670000
2023-04,6649.990000
2023-05,6665.280000
2023-06,6659.950000
2023-07,6667.940000
2023-08,6683.280000
2023-09,6700.660000
2023-10,6716.740000
2023-11,6735.550000
2023-12,6773.270000
2024-01,6801.720000
2024-02,6858.170000
2024-03,6869.140000
2024-04,6895.240000
2024-05,6926.960000
2024-06,6941.510000
2024-07,6967.890000
2024-08,6966.500000
2024-09,6997.150000
2024-10,7036.330000
2024-11,7063.770000
2024-12,7100.500000
2025-01,7111.860000
2025-02,7205.030000
2025-03,7245.380000
2025-04,7276.540000
2025-05,7295.460000
2025-06,7312.970000
2025-07,7331.980000
2025-08,7323.910000
2025-09,7359.060000
2025-10,7365.680000
2025-11,7378.940000
2025-12,7403.290000
2026-01,7427.720000
2026-02,7479.710000
