titulo,marca_id,modelo_id,ano_fipe_codigo,marca,modelo,ano_modelo,categoria,data_referencia,valor_fipe,data_salvamento
BYD Dolphin Mini EV,,,,,,,EV,2024-01,115800.000000,2026-05-12 00:08:28
BYD Dolphin Mini EV,,,,,,,EV,2024-06,108900.000000,2026-05-12 00:08:28
BYD Dolphin Mini EV,,,,,,,EV,2025-01,99900.000000,2026-05-12 00:08:28
BYD Dolphin Mini EV,,,,,,,EV,2025-06,94500.000000,2026-05-12 00:08:28
BYD Dolphin Mini EV,,,,,,,EV,2026-01,89900.000000,2026-05-12 00:08:28
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-04,504637.000000,2026-05-12 00:40:11
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-05,504637.000000,2026-05-12 00:40:11
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-06,508415.000000,2026-05-12 00:40:11
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-07,478418.000000,2026-05-12 00:40:11
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-08,464543.000000,2026-05-12 00:40:11
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-09,464217.000000,2026-05-12 00:40:11
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-10,463520.000000,2026-05-12 00:40:11
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,2022-11,462685.000000,2026-05-12 00:40:11
