uf,estado,premio_medio,is_media,taxa_percentual,periodo
BR,Brasil,1207,39425,3.061509,1º semestre de 2020
AC,Acre,1407,50170,2.804465,1º semestre de 2020
AL,Alagoas,1222,43469,2.811199,1º semestre de 2020
AP,Amapá,1476,48696,3.031050,1º semestre de 2020
AM,Amazonas,1372,48088,2.853103,1º semestre de 2020
BA,Bahia,1273,40651,3.131534,1º semestre de 2020
CE,Ceará,1250,41787,2.991361,1º semestre de 2020
DF,Distrito Federal,1198,42945,2.789615,1º semestre de 2020
ES,Espírito Santo,1197,41189,2.906116,1º semestre de 2020
GO,Goiás,1290,41872,3.080818,1º semestre de 2020
MA,Maranhão,1394,47777,2.917722,1º semestre de 2020
MT,Mato Grosso,1418,46451,3.052679,1º semestre de 2020
MS,Mato Grosso do Sul,1305,44806,2.912556,1º semestre de 2020
MG,Minas Gerais,1140,39924,2.855425,1º semestre de 2020
PA,Pará,1407,47017,2.992535,1º semestre de 2020
PB,Paraíba,1174,43869,2.676149,1º semestre de 2020
PR,Paraná,1161,39859,2.912768,1º semestre de 2020
PE,Pernambuco,1223,40618,3.010980,1º semestre de 2020
PI,Piauí,1460,47629,3.065359,1º semestre de 2020
RJ,Rio de Janeiro,1502,39322,3.819745,1º semestre de 2020
RN,Rio Grande do Norte,1237,40728,3.037223,1º semestre de 2020
RS,Rio Grande do Sul,1171,28179,4.155577,1º semestre de 2020
RO,Rondônia,1351,41846,3.228505,1º semestre de 2020
RR,Roraima,1471,47670,3.085798,1º semestre de 2020
SC,Santa Catarina,1067,41272,2.585288,1º semestre de 2020
SP,São Paulo,1187,37517,3.163899,1º semestre de 2020
SE,Sergipe,1111,41376,2.685131,1º semestre de 2020
TO,Tocantins,1358,44384,3.059661,1º semestre de 2020
