id,origem,status_v45,status_execucao,falha_conhecida,classificacao_falha,contrato_localizacao_ou_ausencia_atendido,candidato_alvo_localizado,ausencia_esperada_confirmada,erros_localizacao,erros_meta_v45,erros_invariantes,nivel_match,autopreencher,criterio_match,cobertura_pbev,score,score_bruto,ano_tabela_pbev,candidato,id_pbev,tipo_consumo,gasolina_cidade_km_l,etanol_cidade_km_l,consumo_eletrico_kwh_km,tokens_fortes_fipe,tokens_fortes_pbev,identidade_tecnica_forte,tecnica_suficiente_para_consumo,dominante,ambiguidade_proxima,ambiguidade_resolvida_por_consumo,diferenca_para_segundo,descartados_prefiltro_identidade,registros_marca,segundo_candidato,top_sugestao,segundo_sugestao,motivo
corolla_cross_xre_zero_km,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,181.0,2026,COROLLA CROSS XRE 20,PBEV-2026-0196,flex,11.5,7.9,,[],[],True,True,True,False,False,0.0,335,507,COROLLA CROSS XRE 20,"{""consumo_energetico_mj_km"": 1.78, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 7.9, ""etanol_estrada_km_l"": 9.2, ""gasolina_cidade_km_l"": 11.5, ""gasolina_estrada_km_l"": 13.1, ""tipo"": ""flex""}","{""consumo_energetico_mj_km"": 1.84, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 7.6, ""etanol_estrada_km_l"": 8.8, ""gasolina_cidade_km_l"": 11.2, ""gasolina_estrada_km_l"": 13.0, ""tipo"": ""flex""}",marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: COROLLA; carroceria compatível; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão automática/CVT compatível
song_plus_phev,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,161.0,2026,SONG PLUS PREM DM,PBEV-2026-0247,phev,,,0.186111,[],[],True,True,True,False,False,0.0,62,80,SONG PLUS PREM DM (MY27),"{""consumo_eletrico_kwh_km"": 0.186111, ""consumo_energetico_mj_km"": 0.67, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""eficiencia_eletrica_km_kwh"": 5.373134, ""fonte_derivacao_eletrica"": ""derivado_de_consumo_energetico_mj_km_mj_div_3_6"", ""gasolina_diesel_cidade_km_l"": 12.2, ""gasolina_diesel_estrada_km_l"": 10.1, ""nao_inferir_percentual_eletrico"": true, ""nao_usar_km_l_equivalente"": true, ""tipo"": ""phev""}","{""consumo_eletrico_kwh_km"": 0.2, ""consumo_energetico_mj_km"": 0.72, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""eficiencia_eletrica_km_kwh"": 5.0, ""fonte_derivacao_eletrica"": ""derivado_de_consumo_energetico_mj_km_mj_div_3_6"", ""gasolina_diesel_cidade_km_l"": 12.0, ""gasolina_diesel_estrada_km_l"": 10.6, ""nao_inferir_percentual_eletrico"": true, ""nao_usar_km_l_equivalente"": true, ""tipo"": ""phev""}",marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: SONG; designação comercial parcialmente compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível
hb20_hatch,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,184.0,2026,HB20 LIMITED,PBEV-2026-0016,flex,13.2,9.2,,"[""HB20""]","[""HB20""]",True,True,True,False,False,46.0,205,483,HB20 PLATINUM,"{""consumo_energetico_mj_km"": 1.54, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 9.2, ""etanol_estrada_km_l"": 10.2, ""gasolina_cidade_km_l"": 13.2, ""gasolina_estrada_km_l"": 14.7, ""tipo"": ""flex""}","{""consumo_energetico_mj_km"": 1.54, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 9.2, ""etanol_estrada_km_l"": 10.2, ""gasolina_cidade_km_l"": 13.2, ""gasolina_estrada_km_l"": 14.7, ""tipo"": ""flex""}",marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível
hb20s_sedan,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,184.0,2026,HB20S LIMITED,PBEV-2026-0085,flex,13.0,9.2,,"[""HB20S""]","[""HB20S""]",True,True,True,False,False,20.0,237,483,HB20S PLATINUM,"{""consumo_energetico_mj_km"": 1.53, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 9.2, ""etanol_estrada_km_l"": 10.7, ""gasolina_cidade_km_l"": 13.0, ""gasolina_estrada_km_l"": 15.2, ""tipo"": ""flex""}","{""consumo_energetico_mj_km"": 1.53, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 9.2, ""etanol_estrada_km_l"": 10.7, ""gasolina_cidade_km_l"": 13.0, ""gasolina_estrada_km_l"": 15.2, ""tipo"": ""flex""}",marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20S; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível
duster_intense_plus,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,148.0,2026,DUSTER DUSTER INTP MT,PBEV-2026-0503,flex,11.2,7.6,,[],[],True,True,True,False,False,9.5,450,567,DUSTER DUSTER INT 16,"{""consumo_energetico_mj_km"": 1.88, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 7.6, ""etanol_estrada_km_l"": 8.4, ""gasolina_cidade_km_l"": 11.2, ""gasolina_estrada_km_l"": 12.3, ""tipo"": ""flex""}","{""consumo_energetico_mj_km"": 1.88, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 7.6, ""etanol_estrada_km_l"": 8.4, ""gasolina_cidade_km_l"": 11.2, ""gasolina_estrada_km_l"": 12.3, ""tipo"": ""flex""}",marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual parcialmente compatível: DUSTER; designação comercial parcialmente compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível
jetour_t1,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,169.0,2026,T1 I-DM ADVANCE,PBEV-2026-0483,phev,,,0.183333,"[""T1""]","[""T1""]",True,True,True,False,False,34.0,4,6,T1 I-DM PREMIUM,"{""consumo_eletrico_kwh_km"": 0.183333, ""consumo_energetico_mj_km"": 0.66, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""eficiencia_eletrica_km_kwh"": 5.454545, ""fonte_derivacao_eletrica"": ""derivado_de_consumo_energetico_mj_km_mj_div_3_6"", ""gasolina_diesel_cidade_km_l"": 13.6, ""gasolina_diesel_estrada_km_l"": 12.2, ""nao_inferir_percentual_eletrico"": true, ""nao_usar_km_l_equivalente"": true, ""tipo"": ""phev""}","{""consumo_eletrico_kwh_km"": 0.183333, ""consumo_energetico_mj_km"": 0.66, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""eficiencia_eletrica_km_kwh"": 5.454545, ""fonte_derivacao_eletrica"": ""derivado_de_consumo_energetico_mj_km_mj_div_3_6"", ""gasolina_diesel_cidade_km_l"": 13.6, ""gasolina_diesel_estrada_km_l"": 12.2, ""nao_inferir_percentual_eletrico"": true, ""nao_usar_km_l_equivalente"": true, ""tipo"": ""phev""}",marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; token forte de modelo compatível: T1; designação comercial parcialmente compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível
jetour_s06,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,181.0,2026,S06 DM ADVANCE,PBEV-2026-0275,phev,,,0.172222,"[""S06""]","[""S06""]",True,True,True,False,False,46.0,4,6,S06 DM PREMIUM,"{""consumo_eletrico_kwh_km"": 0.172222, ""consumo_energetico_mj_km"": 0.62, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""eficiencia_eletrica_km_kwh"": 5.806452, ""fonte_derivacao_eletrica"": ""derivado_de_consumo_energetico_mj_km_mj_div_3_6"", ""gasolina_diesel_cidade_km_l"": 14.0, ""gasolina_diesel_estrada_km_l"": 12.6, ""nao_inferir_percentual_eletrico"": true, ""nao_usar_km_l_equivalente"": true, ""tipo"": ""phev""}","{""consumo_eletrico_kwh_km"": 0.172222, ""consumo_energetico_mj_km"": 0.62, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""eficiencia_eletrica_km_kwh"": 5.806452, ""fonte_derivacao_eletrica"": ""derivado_de_consumo_energetico_mj_km_mj_div_3_6"", ""gasolina_diesel_cidade_km_l"": 14.0, ""gasolina_diesel_estrada_km_l"": 12.6, ""nao_inferir_percentual_eletrico"": true, ""nao_usar_km_l_equivalente"": true, ""tipo"": ""phev""}",marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; token forte de modelo compatível: S06; designação comercial exata; número/modelo compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível
defender_d300,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,versoes_equivalentes,equivalente,100.0,127.0,2021,DEFENDER 110 HSE,PBEV-2021-0785,diesel,,,,"[""110"", ""D300""]","[""110""]",True,True,True,False,True,0.0,659,760,DEFENDER 110 HSE XD,"{""consumo_energetico_mj_km"": 2.72, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""diesel_cidade_km_l"": 9.2, ""diesel_estrada_km_l"": 11.1, ""tipo"": ""diesel""}","{""consumo_energetico_mj_km"": 2.72, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""diesel_cidade_km_l"": 9.2, ""diesel_estrada_km_l"": 11.1, ""tipo"": ""diesel""}",marca compatível; token forte de modelo compatível: 110; designação comercial parcialmente compatível; número/modelo compatível; modelo/família compatível; combustível diesel compatível; versão/acabamento compatível; transmissão compatível; ano PBEV próximo aceito por família técnica equivalente; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia; ano distante (2024 x 2021); código técnico da FIPE ausente no PBEV: D300
discovery_sport_p250,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,versoes_equivalentes,equivalente,100.0,134.5,2022,DISCOVERY SPORT P250FF SERD7,PBEV-2022-0520,flex,7.0,4.9,,"[""P250""]","[""P250"", ""SERD7""]",True,True,True,False,True,4.5,524,760,DISCOVERY SPORT P250FF S,"{""consumo_energetico_mj_km"": 2.9, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 4.9, ""etanol_estrada_km_l"": 6.2, ""gasolina_cidade_km_l"": 7.0, ""gasolina_estrada_km_l"": 8.6, ""tipo"": ""flex""}","{""consumo_energetico_mj_km"": 2.9, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""etanol_cidade_km_l"": 4.9, ""etanol_estrada_km_l"": 6.2, ""gasolina_cidade_km_l"": 7.0, ""gasolina_estrada_km_l"": 8.6, ""tipo"": ""flex""}",marca compatível; ano PBEV adjacente ao ano-modelo FIPE; família comercial textual parcialmente compatível: DISCOVERY; código técnico compatível: P250; designação comercial parcialmente compatível; modelo/família compatível; combustível flex compatível; versão/acabamento parcialmente compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia
towner_pickup,regressao_v42_homologada,regressao_protegida,APROVADO,False,[],True,True,False,[],[],[],alto,True,exato,exata,100.0,169.0,2014,START PICKUP L,PBEV-2014-0552,gasolina,9.0,,,[],[],True,True,True,False,False,2.0,0,6,START PICKUP CD,"{""consumo_energetico_mj_km"": 2.44, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""gasolina_cidade_km_l"": 9.0, ""gasolina_estrada_km_l"": 9.0, ""tipo"": ""gasolina""}","{""consumo_energetico_mj_km"": 2.45, ""criterio_campo_unico"": ""cidade_pbev_conservador"", ""gasolina_cidade_km_l"": 8.7, ""gasolina_estrada_km_l"": 9.3, ""tipo"": ""gasolina""}","marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: START, TOWNER; carroceria compatível; designação comercial exata; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível"
